Respondent	Gili_Meno_Beach	Bali_Safari	Prambanan	Azul_Beach_Club	Water_BomPark	Mirror_Bali	GiliTrawangan_FreeDive	Pohlavi
1	4	8	5	0	9	0	6	1
2	6	8	9	4	8	0	0	0
3	10	1	2	2	1	0	0	1
4	8	1	3	6	3	8	6	1
5	10	2	2	0	2	3	0	1
6	8	3	2	1	4	0	0	0
7	10	2	1	3	3	0	2	0
8	7	1	1	7	3	7	6	1
9	4	0	0	8	7	6	7	0
10	9	0	1	0	2	2	1	1
11	5	10	8	0	5	0	0	1
12	9	3	1	0	3	0	3	1
13	0	8	5	2	8	0	1	0
14	10	2	3	1	2	1	6	0
15	2	2	3	7	0	10	9	1
16	7	2	3	7	1	7	8	1
17	6	6	9	0	8	0	0	1
18	6	2	0	7	2	9	10	1
19	6	8	4	1	6	0	1	1
20	8	8	5	2	6	0	4	0
21	4	6	2	8	3	9	9	1
22	0	1	0	9	0	6	10	0
23	8	5	0	0	5	0	3	0
24	8	2	1	4	6	5	3	1
25	5	5	4	3	6	0	0	1
26	10	3	2	1	5	1	0	0
27	5	3	1	0	4	1	2	1
28	4	3	1	9	0	10	10	1
29	4	9	5	0	6	1	0	1
30	4	6	9	0	9	3	0	1
31	10	4	3	3	2	0	1	0
32	4	8	9	0	9	0	2	0
33	4	1	2	10	0	10	10	1
34	10	3	0	0	2	2	2	0
35	7	3	3	1	4	0	0	1
36	10	4	2	1	3	0	1	0
37	8	4	3	0	4	0	0	0
38	7	1	1	7	0	6	5	1
39	4	2	1	8	2	7	10	1
40	5	8	8	0	8	1	3	0
41	4	2	2	9	4	8	10	1
42	8	3	4	0	4	3	0	0
43	4	0	1	7	0	6	9	1
44	9	3	1	0	1	3	0	1
45	10	1	2	2	1	0	2	1
46	0	2	2	8	0	7	10	0
47	3	1	2	10	2	8	6	1
48	5	2	6	8	0	8	10	1
49	4	0	0	8	1	10	8	1
50	8	5	2	3	2	3	0	0
51	6	6	3	0	6	2	0	0
52	8	4	3	0	1	0	2	0
53	10	2	1	2	1	0	0	1
54	1	9	7	0	5	0	1	1
55	2	6	8	1	7	0	2	1
56	7	1	3	9	0	7	10	0
57	7	1	1	0	4	2	3	1
58	8	5	3	6	1	0	0	0
59	5	7	8	0	5	0	1	1
60	9	3	5	0	5	0	0	0
61	9	3	3	0	3	2	0	0
62	10	2	1	3	1	0	1	0
63	1	8	4	1	5	3	0	1
64	8	6	5	0	3	1	0	0
65	5	3	0	9	1	5	10	1
66	5	10	8	2	8	0	0	1
67	4	0	0	10	5	9	7	1
68	0	4	2	8	1	10	8	1
69	5	3	2	10	1	6	10	1
70	3	2	2	5	0	0	1	0
71	5	5	8	0	8	2	0	1
72	4	2	1	10	4	8	10	1
73	8	3	1	0	5	2	6	0
74	6	5	6	0	9	0	2	0
75	6	2	1	7	3	10	9	1
76	1	9	9	0	8	4	2	0
77	4	4	7	0	8	1	0	1
78	2	3	3	10	1	8	10	1
79	2	0	2	9	0	8	10	1
80	8	2	2	8	3	9	8	1
81	9	3	1	1	2	0	0	1
82	4	2	1	3	3	0	3	0
83	6	7	0	1	0	1	0	1
84	10	2	2	0	2	0	0	0
85	1	8	3	0	8	0	2	1
86	9	0	1	0	3	2	0	1
87	3	0	1	9	1	4	10	1
88	9	0	0	3	0	4	5	0
89	10	2	0	0	2	2	0	0
90	7	2	6	0	6	0	0	0
